sex,age,HH,HU,HD,UH,UU,UD
m,65,0.855704568855383,0.126941086897153,0.0173543442474641,0.158243072636504,0.821916602301401,0.019840325062095
m,66,0.858398953996377,0.122490366929558,0.0191106790740656,0.156615856925778,0.82144502955957,0.0219391135146515
m,67,0.860807185405311,0.118155252750199,0.0210375618444907,0.154968333144041,0.820777543958484,0.0242541228974752
m,68,0.862916299298797,0.113933179289458,0.0231505214117457,0.153297953048881,0.819895662867013,0.0268063840841064
m,69,0.864712145011423,0.109821531826654,0.0254663231619231,0.15160198810226,0.818779308368872,0.0296187035288679
m,70,0.866179310449812,0.105817656332516,0.0280030332176718,0.149877525109153,0.817406721260985,0.0327157536298614
m,71,0.867301051442447,0.101918869924635,0.0307800786329176,0.148121463801956,0.815754382685858,0.0361241535121857
m,72,0.868059226966126,0.0981224714853104,0.0338183015485637,0.146330516919604,0.813796947101799,0.0398725359785971
m,73,0.868434242620922,0.0944257524945944,0.0371400048844835,0.144501213416222,0.811507191043606,0.0439915955401726
m,74,0.868405005159465,0.0908260081330426,0.0407689867074924,0.142629905523367,0.808855982948218,0.0485141115284152
m,75,0.86794889134954,0.0873205487081909,0.0447305599422691,0.140712780479217,0.805812280199895,0.0534749393208883
m,76,0.867041734954294,0.0839067114555845,0.0490515535901214,0.138745877822505,0.802343160462713,0.0589109617147817
m,77,0.865657836140068,0.080581872758593,0.0537602911013386,0.136725113222234,0.798413895276396,0.0648609915013704
m,78,0.863769998150731,0.0773434608205609,0.0588865410287084,0.134646309867558,0.793988074740805,0.0713656153916365
m,79,0.861349596595132,0.0741889688072962,0.0644614345975719,0.13250523846509,0.789027792832013,0.0784669687028973
m,80,0.858366687148637,0.0711159684566815,0.0705173443946813,0.130297666870197,0.783493903384759,0.0862084297450433
m,81,0.854790157829063,0.0681221241245456,0.077087718046391,0.128019420299523,0.777346356926033,0.0946342227744446
m,82,0.850587932220294,0.0652052072011829,0.0842068605785232,0.125666452917019,0.770544628214182,0.1037889188688
m,83,0.845727230021672,0.0623631107905711,0.0919096591877567,0.123234931337585,0.763048243370951,0.113716825291463
m,84,0.840174891026827,0.0595938644942494,0.100231244478924,0.120721330233688,0.754817413722414,0.124461256043898
m,85,0.833897768003022,0.0568956490842688,0.109206582912709,0.118122539746469,0.745813780722902,0.136063679530629
m,86,0.826863192868622,0.0542668107855243,0.118869996345853,0.115435983784541,0.736001272477345,0.148562743738114
m,87,0.819039518970347,0.0517058748188472,0.129254606210806,0.112659747540109,0.725347067300304,0.161993185159588
m,88,0.810396740071746,0.0492115577851626,0.140391702143091,0.109792711675098,0.71382265342823,0.176384634896672
m,89,0.800907183827411,0.0467827784016142,0.152310037770975,0.106834689657561,0.701404966519086,0.191760343823353
m,90,0.790546274014107,0.0444186660378394,0.165035059948054,0.103786563708655,0.688077578159942,0.208135858131403
m,91,0.779293351647285,0.0421185664507244,0.178588081901991,0.100650413822339,0.673831899663294,0.225517686514367
m,92,0.767132540417975,0.0398820440861832,0.192985415495842,0.0974296334345982,0.658668356564039,0.243902010001363
m,93,0.754053636804954,0.0377088803146368,0.208237482880409,0.0941290246552234,0.642597481216252,0.263273494128524
m,94,0.740052999999296,0.0355990670008346,0.22434793299987,0.0907548656518456,0.625640864669918,0.283604269678237
m,95,0.725134411759868,0.0335527948856641,0.241312793354468,0.0873149429097839,0.607831905601051,0.304853151489165
m,96,0.709309871916708,0.0315704363830797,0.259119691700213,0.0838185417808158,0.58921629446344,0.326965163755745
m,97,0.692600291932713,0.029652522571823,0.277747185495464,0.0802763900407813,0.569852176044783,0.349871433914436
m,98,0.675036047226959,0.027799714387747,0.297164238385294,0.076700551106153,0.549809943733244,0.373489505160603
m,99,0.656657349335954,0.0260127682918447,0.317329882372202,0.0731042660494174,0.529171634042528,0.397724099908054
m,100,0.637514401839082,0.0242924969894469,0.338193101171471,0.0695017464612387,0.5080299097257,0.422468343813061
m,101,0.617667309547336,0.0226397260898514,0.359692964362813,0.0659079233196841,0.486486642923452,0.447605433756864
m,102,0.597185718782801,0.0210552479003525,0.381759033316846,0.0623381600727767,0.464651134463766,0.473010705463457
m,103,0.576148177430129,0.0195397738185389,0.404312048751332,0.0588079408228096,0.44263802946946,0.49855402970773
m,104,0.554641216305569,0.0180938869952565,0.427264896699175,0.0553325465327819,0.420565010494424,0.524102442972795
m,105,0.532758167476202,0.0167179970634231,0.450523835460375,0.0519267333227293,0.398550365309018,0.549522901368253
f,65,0.864730070574238,0.123957290481303,0.0113126389444588,0.176725766072323,0.809704769569501,0.013569464358176
f,66,0.867868073168184,0.119668437129609,0.0124634897022066,0.175056661902333,0.809925730838815,0.0150176072588523
f,67,0.87077638261515,0.11549599983759,0.0137276175472598,0.173373783860678,0.810008750275003,0.0166174658643193
f,68,0.873446867467498,0.111437455509076,0.0151156770234264,0.171675045371182,0.809940624655615,0.0183843299732035
f,69,0.875870523362697,0.107490232058717,0.0166392445785865,0.169958192628637,0.809706908938647,0.020334898432716
f,70,0.878037400188538,0.103651716616129,0.0183108831953322,0.16822079578831,0.809291824431711,0.0224873797799791
f,71,0.879936528003719,0.0999192635774478,0.0201442084188331,0.166460240739992,0.80867816595767394,0.0248615933023347
f,72,0.881555842421004,0.0962902025341408,0.0221539550448548,0.16467372177623,0.807847209615403,0.0274790686083671
f,73,0.882882110362482,0.092761846113958,0.0243560435235596,0.162858235529979,0.806778623183316,0.0303631412867044
f,74,0.883900857334151,0.089331497773513,0.0267676448923355,0.16101057663089,0.80545038173854,0.0335390416305702
f,75,0.884596297643386,0.0859964595861652,0.0294072427704485,0.159127335611574,0.803838691670003,0.0370339727184224
f,76,0.884951269300219,0.0827540400723533,0.0322946906274273,0.157204899684556,0.801917926951318,0.0408771733641257
f,77,0.884947175703417,0.0796015621221433,0.0354512621744399,0.155239457105646,0.799660582306013,0.0450999605883402
f,78,0.8845639366151,0.0765363710612039,0.0388996923236962,0.153227005937459,0.797037248734864,0.0497357453276775
f,79,0.883779951371131,0.0735558429113801,0.0426642057174894,0.151163368123679,0.794016617765481,0.0548200141108405
f,80,0.88257207775371,0.0706573928951061,0.0467705293511844,0.149044209874864,0.790565521700056,0.0603902684250803
f,81,0.880915630458917,0.0678384842286118,0.0512458853124709,0.146865069442331,0.786649018036424,0.0664859125212453
f,82,0.878784403611657,0.0650966372417111,0.0561189591466324,0.14462139340817,0.782230527062074,0.073148079529756
f,83,0.87615072229404,0.0624294388513298,0.0614198388546305,0.14230858263431,0.777272032292442,0.0804193850732481
f,84,0.872985528533898,0.0598345524012299,0.0671799190648726,0.139922048976955,0.771734353844304,0.0883435971787407
f,85,0.869258507612558,0.0573097278609814,0.0734317645264605,0.137457283767593,0.765577504880234,0.0969652113521726
f,86,0.86493826085088,0.0548528123525645,0.080208926796556,0.134909938869177,0.758761140787638,0.106328920343185
f,87,0.85999253116528,0.052461760942563,0.0875457078921566,0.132275920816751,0.751245109605372,0.116478969577877
f,88,0.854388487587045,0.0501346476014591,0.0954768648114957,0.129551498127223,0.742990110213724,0.127458391659053
f,89,0.848093074535555,0.0478696761890512,0.104037249275394,0.126733421298382,0.733958461796368,0.13930811690525
f,90,0.841073430850145,0.0456651912769179,0.113261377872938,0.123819054304401,0.724114983928134,0.152065961767465
f,91,0.83329738233475,0.0435196885660822,0.123182929099168,0.120806515536283,0.713427981254627,0.16576550320909
f,92,0.824734009777288,0.041431824602257,0.133834165620455,0.117694825147941,0.701870320107645,0.180434854744413
f,93,0.815354292007587,0.0394004254347153,0.145245282557698,0.114484054687864,0.689420576662359,0.196095368649778
f,94,0.805131820513281,0.0374244938113197,0.157443685675399,0.111175473780858,0.676064227660876,0.212760298558266
f,95,0.794043578438987,0.0355032144558676,0.170453207105145,0.107771687556381,0.661794845756468,0.230433466687151
f,96,0.782070772498239,0.033635956939883,0.184293270561878,0.104276757604571,0.646615252821272,0.249107989574157
f,97,0.769199701543708,0.0318222756452255,0.198978022811066,0.100696298601124,0.630538576937857,0.268765124461019
f,98,0.755422640460558,0.0300619063226569,0.214515453216785,0.0970375425084117,0.613589153228969,0.289373304262619
f,99,0.740738712946996,0.0283547587909292,0.230906528262076,0.093309362556912,0.595803206192739,0.310887431250349
f,100,0.725154721986458,0.0267009053962731,0.248144372617269,0.0895222501371436,0.577229252760622,0.333248497102235
f,101,0.708685902832066,0.025100564966925,0.266213532201009,0.0856882393407218,0.557928171627751,0.356383589031527
f,102,0.691356560599096,0.0235540821524557,0.285089357248448,0.0818207761675154,0.537972895893604,0.380206327938881
f,103,0.673200553587733,0.0220619022306194,0.304737544181648,0.0779345322718695,0.517447702554686,0.404617765173445
f,104,0.654261584685282,0.0206245416884886,0.32511387362623,0.0740451663777959,0.496447093161971,0.429507740460233
f,105,0.634593266967591,0.0192425551286011,0.346164177903808,0.0701690398977677,0.475074283623424,0.454756676478808
